biomassa,biomassa,substrato,temperatura,ph,concentracao_n,concentracao_p,concentracao_dqo,eficiencia_remocao_n,eficiencia_remocao_p,eficiencia_remocao_dqo
0.0,0.05111101778772338,0.4719362176141945,0.5073379325677377,0.30018339624352547,1.0,1.0,1.0,0.0,0.0,0.0
0.0101010101010101,0.018198883375312915,0.6098505947445748,0.5359532693987473,0.362499749810787,0.9977185646021987,0.997886081327788,0.9980465316281814,0.002281435397801447,0.002113918672211499,0.001953468371818857
0.0202020202020202,0.06206756926783441,0.6199689735110651,0.6095741888927185,0.6655980302246648,0.9953277664886591,0.9956702543016591,0.9959983577837462,0.004672233511341111,0.004329745698341456,0.004001642216254126
0.030303030303030297,0.11083320518567001,0.5551476346484933,0.6054510995268596,0.6338565131275296,0.9928228261275255,0.9933480053262752,0.9938512285757377,0.00717717387247459,0.006651994673725039,0.006148771424262712
0.0404040404040404,0.017549021025486597,0.6436568963233249,0.2627006314183224,0.4875153081627293,0.9901988024753556,0.9909146618020865,0.9916007384394898,0.009801197524644577,0.009085338197913483,0.00839926156051039
0.05050505050505051,0.019210058920890376,0.7215829684865472,0.32470294330721405,0.5195594976732129,0.9874505925303368,0.9883653908370463,0.9892423241188291,0.012549407469663196,0.011634609162953797,0.010757675881171106
0.06060606060606061,0.11885047039878709,0.9272284757464849,0.5295042608421858,0.7885485033041079,0.98457293152184,0.9856951984805947,0.9867712630654112,0.015427068478160087,0.014304801519405377,0.013228736934589026
0.0707070707070707,0.07685124467885576,0.6877622336873821,0.5293281519470109,0.3552228509981906,0.9815603938134241,0.9828989295481144,0.9841826723147522,0.01843960618657593,0.017101070451885636,0.015817327685248364
0.0808080808080808,0.011989289374808223,0.6983358101812397,0.5295060114905416,0.6191886169004679,0.9784073946016326,0.9799712681090653,0.9814715079032224,0.021592605398367392,0.020028731890934796,0.018528492096777448
0.09090909090909091,0.06863608067936416,0.6510327946323307,1.0,0.44548848318890083,0.9751081924981294,0.9769067387170814,0.9786325648951286,0.024891807501870655,0.023093261282918855,0.021367435104871487
0.10101010101010102,0.01643227041828067,0.3929271319732639,0.5373778515795568,0.4418979331706933,0.971656893087852,0.9736997084653879,0.9756604780939073,0.02834310691214791,0.026300291534612413,0.02433952190609291
0.11111111111111112,0.01851598583191301,0.6554846657582926,0.6169768398175938,0.747078744286734,0.9680474535608197,0.970344389955908,0.9725497235164328,0.031952546439180385,0.029655610044091812,0.027450276483567102
0.12121212121212122,0.05903762099587515,0.6663779205850193,0.5913828298635678,0.6837084153180792,0.9642736885199266,0.966834845275325,0.9692946207143478,0.035726311480073374,0.033165154724674864,0.030705379285652767
0.13131313131313133,0.0,1.0,0.548725575554924,0.6809482055925774,0.9603292770713755,0.9631649910760128,0.9658893360311586,0.0396707229286247,0.03683500892398759,0.034110663968841666
0.14141414141414138,0.0,0.6286131372533146,0.4124610343543277,0.7949963137735224,0.9562077713082126,0.9593286048640997,0.9623278868885214,0.04379222869178744,0.040671395135900595,0.03767211311147849
0.15151515151515152,0.023248625243195313,0.6960676019043469,0.5638902198908597,0.49722981047822606,0.951902606300604,0.9553193326008196,0.9586041471994904,0.04809739369939594,0.04468066739918032,0.04139585280050959
0.1616161616161616,0.0017137693750254002,0.6477680033466423,0.34796201471598603,0.6504507890713499,0.9474071117088247,0.9511306977266054,0.9547118540105552,0.052592888291175394,0.04886930227339497,0.04528814598944525
0.1717171717171717,0.07628035024583402,0.488235107940068,0.42351976720336215,0.4204347850194722,0.9427145251363122,0.9467561117199794,0.9506446154777823,0.05728547486368788,0.05324388828002077,0.04935538452221804
0.1818181818181818,0.013350192435533138,0.8087784786962848,0.3884838238631041,0.5675088296968401,0.9378180073402914,0.9421888863049882,0.9463959202852731,0.06218199265970858,0.05781111369501176,0.053604079714726985
0.1919191919191919,0.0,0.7526534015724988,0.46844404104819093,0.46219099390797524,0.93271065941624,0.9374222474215135,0.9419591486162121,0.0672893405837601,0.06257775257848702,0.05804085138378778
0.20202020202020204,0.14804890285958966,0.7563731654936446,0.7831867525379499,0.5148462759277429,0.9273855420695812,0.932449351072134,0.9373275847879379,0.07261445793041874,0.06755064892786615,0.06267241521206274
0.2121212121212121,0.0602362010902134,0.517600521710561,0.19368513870154333,0.6303297855546602,0.9218356970832309,0.9272633011570396,0.9324944316624169,0.0781643029167694,0.07273669884296088,0.067505568337583
0.22222222222222224,0.07973551716433186,0.8379254906666912,0.5536408482947078,0.3026810968350584,0.9160541710826958,0.9218571694045639,0.9274528269421637,0.08394582891730419,0.07814283059543603,0.07254717305783676
